model,seed,utilization_mean,utilization_std,optimality_gap_mean,optimality_gap_std,actor_loss_mean,critic_loss_mean,gradient_variance_mean,gradient_variance_std,gradient_norm_mean,gradient_norm_std
TD WITHOUT EF,7,0.915362986481816,0.05362220039523309,0.09229670002656935,0.06761395769868113,-0.024732682050638163,0.6485664657114854,2.039274600158444e-05,2.4340989543654825e-05,0.8619853358274926,1.5492849296042723
TD WITHOUT EF,8,0.9182443960985982,0.05366094710536798,0.08873792907711242,0.0675846746406292,-0.021327912096259956,0.6787431571535527,3.5230288222597786e-05,6.577874488637955e-05,0.9909967507326103,2.0701026428766567
TD WITHOUT EF,9,0.9163843531359682,0.054342963515583285,0.0910972012382283,0.06843779694697723,-0.027706147688635555,0.6310969047241901,3.66878634196794e-05,8.137629546690747e-05,0.9987820377148193,2.126817525950139
TD WITHOUT EF,10,0.9146003081046076,0.055598410296599274,0.09336913397030601,0.07029522251545202,-0.02708330621144453,0.7289668748343694,4.4238004512952456e-05,0.00011561656409860611,1.2076397447629132,2.2094496591595223
TD WITHOUT EF,11,0.9157939718281164,0.05373488284294354,0.09170542456361794,0.06786021368884505,-0.02716792786324006,0.7274256365424161,2.3002865089981154e-05,5.0778679004421354e-05,0.7643735216519446,1.7440556648634418
TD WITHOUT EF,12,0.9133499862285489,0.052153986428494704,0.09439553110205316,0.06634335769346063,-0.03017833496022451,0.640550967067139,5.749410935349607e-05,0.0001343248120739927,1.1491270206554793,2.7485221453770556
TD WITHOUT EF,13,0.9137495940524246,0.05413783510996649,0.09421391580227359,0.06853886565631888,-0.03239814381721755,0.8192062818976578,4.066280864439897e-05,0.00011272264372962144,1.0981654531724752,2.310902992731427
TD WITHOUT EF,14,0.8853072336201668,0.06895505303111325,0.13274337532186634,0.09505258531063017,-0.033591766402511124,0.9707250590552466,0.00010666069472464577,0.0002134347437049654,1.394207605842175,3.893766993997586
TD WITHOUT EF,15,0.8896382075392095,0.06776689597933895,0.1267365411337925,0.09336614871978022,-0.05113306782372614,0.9512741185788611,0.00010927637761454916,0.0002865560450122045,1.6644717996813356,3.8735177069727578
TD WITHOUT EF,16,0.9141195851557301,0.05466632682152502,0.09392259555596048,0.06911004678217701,-0.02791660157499764,0.7133309775750186,5.066448825791274e-05,0.0001173070672004589,1.2351766482156599,2.4175326618059283
